,cycle_id,harvested_at,weight,size,total_harvest(kg),total_seed,survival_rate(%),average_weight(gr),est_remaining_population,biomass(kg),avg_pond_length,avg_pond_width,avg_pond_depth,long_cycle(day),total_feed(kg),avg_tray_number,avg_feed_remain%,count_fasting,total_mortal,avg_weight_mortal,avg_weight_sample
79,4551,2020-07-12,305.0,214.0,65270.0,115200,56.66,4.672897196261682,49930.0,233.3177570093458,39.5,18.4,1.1,44,420.0,0.0,0.0,1.0,0.0,0.0,3.5233333333333334
80,4552,2020-07-05,32.0,400.0,12800.0,12000,106.67,2.5,-800.0,-2.0,4.0,6.0,1.2,37,32.62,0.0,0.0,0.0,0.0,0.0,0.0
81,4620,2020-08-16,1200.0,55.0,66000.0,175000,37.71,18.181818181818183,109000.0,1981.818181818182,44.72,33.54,0.0,83,1841.0,0.0,0.0,1.0,0.0,0.0,0.0
82,4621,2020-08-13,800.0,74.0,59200.0,175000,33.83,13.513513513513514,115800.0,1564.8648648648648,44.72,33.54,0.0,64,907.0,0.0,0.0,0.0,0.0,0.0,0.0
83,4622,2020-08-13,250.0,95.0,23750.0,175000,13.57,10.526315789473685,151250.0,1592.1052631578948,650.0,650.0,0.0,64,717.0,0.0,0.0,1.0,0.0,0.0,0.0
84,4750,2020-08-31,253.75,85.0,21568.75,43200,49.93,11.764705882352942,21631.25,254.48529411764707,20.0,20.0,120.0,91,908.0,0.0,0.0,1.0,0.0,0.0,10.780000000000001
85,4750,2020-09-20,406.45,58.0,23574.1,43200,104.5,17.24137931034483,-1942.8499999999985,-33.497413793103426,20.0,20.0,120.0,91,908.0,0.0,0.0,1.0,0.0,0.0,10.780000000000001
86,4751,2020-08-31,394.8,84.0,33163.200000000004,43200,76.77,11.904761904761903,10036.799999999996,119.48571428571422,20.0,20.0,120.0,91,916.0,0.0,0.0,0.0,0.0,0.0,10.51142857142857
87,4751,2020-09-20,270.0,54.0,14580.0,43200,110.52,18.51851851851852,-4543.200000000004,-84.13333333333341,20.0,20.0,120.0,91,916.0,0.0,0.0,0.0,0.0,0.0,10.51142857142857
88,4803,2020-07-27,86.0,1000.0,86000.0,168750,50.96,1.0,82750.0,82.75,36.51,27.39,150.0,32,177.0,0.0,0.0,2.0,0.0,0.0,0.0
89,4887,2020-09-03,850.0,90.0,76500.0,62000,123.39,11.11111111111111,-14500.0,-161.1111111111111,24.0,9.0,1.2,67,858.9,0.0,0.0,0.0,0.0,0.0,6.1
90,4896,2020-08-07,266.0,212.0,56392.0,70000,80.56,4.716981132075472,13608.0,64.18867924528303,25.0,28.0,1.3,43,327.95,0.0,0.0,2.0,0.0,0.0,4.7
91,4938,2020-08-28,334.0,160.0,53440.0,75000,71.25,6.25,21560.0,134.75,22.07,18.3,1.2,54,383.32,0.0,0.0,6.0,0.0,0.0,3.66
92,4946,2020-09-17,1261.0,93.0,117273.0,200000,58.64,10.75268817204301,82727.0,889.5376344086021,75.72,56.79,0.0,59,1551.8,0.0,0.0,1.0,0.0,0.0,6.994
93,4957,2020-08-16,32.0,350.0,11200.0,15000,74.67,2.857142857142857,3800.0,10.857142857142858,4.0,6.0,1.2,40,43.87,0.0,0.0,0.0,0.0,0.0,0.0
94,5159,2020-08-26,456.0,250.0,114000.0,120000,95.0,4.0,6000.0,24.0,25.0,24.0,1.3,36,342.5,0.0,0.0,1.0,0.0,0.0,0.0
95,5222,2020-10-14,1468.65,59.0,86650.35,251376,34.47,16.94915254237288,164725.65,2791.960169491525,40.0,40.0,1.3,137,6578.0,0.0,0.0,1.0,0.0,0.0,17.29
96,5222,2020-10-14,94.67,83.0,7857.610000000001,251376,37.6,12.048192771084336,156868.03999999998,1889.9763855421684,40.0,40.0,1.3,137,6578.0,0.0,0.0,1.0,0.0,0.0,17.29
97,5222,2020-11-07,520.48,43.0,22380.64,251376,46.5,23.255813953488374,134487.4,3127.6139534883723,40.0,40.0,1.3,137,6578.0,0.0,0.0,1.0,0.0,0.0,17.29
98,5222,2020-12-14,1590.56,30.0,47716.799999999996,251376,65.48,33.333333333333336,86770.6,2892.353333333334,40.0,40.0,1.3,137,6578.0,0.0,0.0,1.0,0.0,0.0,17.29
99,5222,2020-12-14,50.21,46.0,2309.66,251376,66.4,21.73913043478261,84460.94,1836.1073913043479,40.0,40.0,1.3,137,6578.0,0.0,0.0,1.0,0.0,0.0,17.29
100,5223,2020-10-14,1412.3,66.0,93211.8,372000,25.06,15.15151515151515,278788.2,4224.063636363637,60.0,40.0,1.3,140,10531.0,0.0,0.0,11.0,0.0,0.0,15.31
101,5223,2020-10-14,67.44,100.0,6744.0,372000,26.87,10.0,272044.2,2720.442,60.0,40.0,1.3,140,10531.0,0.0,0.0,11.0,0.0,0.0,15.31
102,5223,2020-11-07,541.38,49.0,26527.62,372000,34.0,20.408163265306122,245516.58000000002,5010.542448979592,60.0,40.0,1.3,140,10531.0,0.0,0.0,11.0,0.0,0.0,15.31
103,5223,2020-12-12,522.97,36.0,18826.920000000002,372000,39.06,27.777777777777775,226689.66,6296.9349999999995,60.0,40.0,1.3,140,10531.0,0.0,0.0,11.0,0.0,0.0,15.31
104,5223,2020-12-12,13.72,53.0,727.1600000000001,372000,39.26,18.867924528301884,225962.5,4263.443396226415,60.0,40.0,1.3,140,10531.0,0.0,0.0,11.0,0.0,0.0,15.31
105,5223,2020-12-14,3287.57,35.0,115064.95000000001,372000,70.19,28.57142857142857,110897.54999999999,3168.5014285714283,60.0,40.0,1.3,140,10531.0,0.0,0.0,11.0,0.0,0.0,15.31
106,5223,2020-12-14,106.44,55.0,5854.2,372000,71.76,18.181818181818183,105043.34999999998,1909.8790909090906,60.0,40.0,1.3,140,10531.0,0.0,0.0,11.0,0.0,0.0,15.31
107,5435,2020-10-02,284.58,137.0,38987.46,351750,11.08,7.299270072992701,312762.54,2282.9382481751823,42.97,32.23,2.0,57,2388.95,0.0,0.0,0.0,0.0,0.0,5.35
108,5435,2020-10-07,957.16,109.0,104330.44,351750,40.74,9.174311926605505,208432.1,1912.2211009174314,42.97,32.23,2.0,57,2388.95,0.0,0.0,0.0,0.0,0.0,5.35
109,5437,2020-10-02,429.03,121.0,51912.63,393750,13.18,8.264462809917356,341837.37,2825.1022314049587,50.83,38.12,2.0,55,3348.0,0.0,0.0,0.0,0.0,0.0,4.5200000000000005
110,5437,2020-10-06,1109.73,102.0,113192.46,393750,41.93,9.80392156862745,228644.91,2241.616764705882,50.83,38.12,2.0,55,3348.0,0.0,0.0,0.0,0.0,0.0,4.5200000000000005
111,5438,2020-10-02,569.03,149.0,84785.47,420000,20.19,6.7114093959731544,335214.53,2249.761946308725,52.85,39.64,2.0,56,4212.0,0.0,0.0,0.0,0.0,0.0,5.4775
112,5438,2020-10-06,2071.73,102.0,211316.46,420000,70.5,9.803921568627452,123898.07,1214.686960784314,52.85,39.64,2.0,56,4212.0,0.0,0.0,0.0,0.0,0.0,5.4775
113,5439,2020-10-02,349.94,123.0,43042.62,221250,19.45,8.130081300813007,178207.38,1448.8404878048777,38.23,28.67,2.0,56,2264.0,0.0,0.0,0.0,0.0,0.0,5.865
114,5439,2020-10-06,1319.48,85.0,112155.8,221250,70.15,11.76470588235294,66051.57999999999,777.0774117647056,38.23,28.67,2.0,56,2264.0,0.0,0.0,0.0,0.0,0.0,5.865
115,5441,2020-10-02,497.63,126.0,62701.38,442500,14.17,7.936507936507937,379798.62,3014.2747619047623,54.15,40.61,2.0,55,3680.0,0.0,0.0,0.0,0.0,0.0,4.363333333333333
116,5441,2020-10-05,1680.0,110.0,184800.0,442500,55.93,9.090909090909092,194998.62,1772.7147272727273,54.15,40.61,2.0,55,3680.0,0.0,0.0,0.0,0.0,0.0,4.363333333333333
117,5442,2020-10-02,597.55,138.0,82461.9,392000,21.04,7.246376811594203,309538.1,2243.0297101449273,51.12,38.34,0.0,56,3911.0,0.0,0.0,0.0,0.0,0.0,5.185
118,5442,2020-10-06,2449.86,91.0,222937.26,392000,77.91,10.989010989010989,86600.83999999997,951.657582417582,51.12,38.34,0.0,56,3911.0,0.0,0.0,0.0,0.0,0.0,5.185
119,5677,2020-10-28,500.0,73.0,36500.0,150000,24.33,13.698630136986301,113500.0,1554.7945205479452,28.28,21.21,1.7,81,2100.0,0.0,0.0,2.0,0.0,0.0,15.868571428571428
120,5677,2020-11-17,1013.0,41.0,41533.0,150000,52.02,24.390243902439025,71967.0,1755.2926829268292,28.28,21.21,1.7,81,2100.0,0.0,0.0,2.0,0.0,0.0,15.868571428571428
121,5731,2020-10-28,250.0,119.0,29750.0,100000,29.75,8.403361344537815,70250.0,590.3361344537815,27.33,20.49,1.2,81,1360.8,0.0,0.0,2.0,0.0,0.0,7.574285714285715
122,5731,2020-11-17,665.0,75.0,49875.0,100000,79.62,13.333333333333334,20375.0,271.6666666666667,27.33,20.49,1.2,81,1360.8,0.0,0.0,2.0,0.0,0.0,7.574285714285715
123,5902,2020-12-04,161.3,84.0,13549.2,70170,19.31,11.904761904761903,56620.8,674.0571428571428,32.66,24.49,1.2,121,1912.9,0.0,0.0,6.0,0.0,0.0,16.790769230769232
124,5902,2020-12-16,153.9,66.0,10157.4,70170,33.78,15.151515151515152,46463.4,703.9909090909092,32.66,24.49,1.2,121,1912.9,0.0,0.0,6.0,0.0,0.0,16.790769230769232
125,5902,2020-12-30,217.7,46.0,10014.199999999999,70170,48.06,21.73913043478261,36449.2,792.3739130434783,32.66,24.49,1.2,121,1912.9,0.0,0.0,6.0,0.0,0.0,16.790769230769232
126,5902,2021-01-13,202.16,39.0,7884.24,70170,59.29,25.641025641025642,28564.96,732.4348717948717,32.66,24.49,1.2,121,1912.9,0.0,0.0,6.0,0.0,0.0,16.790769230769232
127,5902,2021-02-03,606.0,30.0,18180.0,70170,85.2,33.333333333333336,10384.96,346.1653333333333,32.66,24.49,1.2,121,1912.9,0.0,0.0,6.0,0.0,0.0,16.790769230769232
128,5903,2020-12-04,132.4,80.0,10592.0,70170,15.09,12.5,59578.0,744.725,32.66,24.49,1.2,121,1824.9,0.0,0.0,7.0,0.0,0.0,16.408333333333335
129,5903,2020-12-16,151.5,57.0,8635.5,70170,27.4,17.54385964912281,50942.5,893.7280701754387,32.66,24.49,1.2,121,1824.9,0.0,0.0,7.0,0.0,0.0,16.408333333333335
130,5903,2020-12-30,211.7,45.0,9526.5,70170,40.98,22.22222222222222,41416.0,920.3555555555555,32.66,24.49,1.2,121,1824.9,0.0,0.0,7.0,0.0,0.0,16.408333333333335
131,5903,2021-01-13,234.1,38.0,8895.8,70170,53.66,26.315789473684212,32520.199999999997,855.7947368421053,32.66,24.49,1.2,121,1824.9,0.0,0.0,7.0,0.0,0.0,16.408333333333335
132,5903,2021-02-03,728.0,28.0,20384.0,70170,82.7,35.714285714285715,12136.199999999997,433.4357142857142,32.66,24.49,1.2,121,1824.9,0.0,0.0,7.0,0.0,0.0,16.408333333333335
